ponto_especifico;ponto;mes;ano;ID;CT;CP;raios_peitoral_d;raios_peitoral_e;raios_peitoral_dif;raios_pelv_d;raios_pelv_e;raios_pelv_dif;doop_d;doop_e;doop_dif;dob_d;dob_e;dob_dif;bpeit_ppelv_d;bpeit_ppelv_e;bpeit_ppelv_dif;diam_olho_d;diam_olho_e;diam_olho_dif
8;intermediario;Novembro;2023;241;3;2,3;;11;;8;8;0;0,57;0,59;-0,02;0,39;0,39;0;0,45;0,45;0;0,22;0,22;0
8;intermediario;Novembro;2023;242;2,94;2,27;;;;8;8;0;0,59;0,59;0;0,4;0,4;0;0,46;0,49;-0,03;0,21;0,21;0
7;jusante;Novembro;2023;243;3,86;3,07;11;11;0;8;8;0;0,71;0,73;-0,02;0,52;0,5;0,02;0,67;0,67;0;0,29;0,29;0
7;jusante;Novembro;2023;244;3,54;2,79;11;11;0;8;8;0;0,67;0,67;0;0,5;0,48;0,02;0,62;0,62;0;0,26;0,27;-0,01
7;jusante;Novembro;2023;245;2,9;2,25;;11;;8;8;0;0,57;0,57;0;0,36;0,38;-0,02;0,45;0,45;0;0,22;0,22;0
7;jusante;Novembro;2023;246;3,12;2,4;;10;;8;8;0;0,63;0,64;-0,01;0,43;0,42;0,01;0,52;0,51;0,01;0,24;0,24;0
7;jusante;Novembro;2023;247;3,5;2,75;11;11;0;8;8;0;0,67;0,67;0;0,46;0,46;0;0,58;0,58;0;0,25;0,25;0
7;jusante;Novembro;2023;248;3,6;2,87;12;12;0;8;8;0;0,72;0,72;0;0,46;0,46;0;0,61;0,61;0;0,29;0,28;0,01
7;jusante;Novembro;2023;249;2,99;2,34;11;;;8;8;0;0,59;0,59;0;0,39;0,41;-0,02;0,51;0,51;0;0,23;0,24;-0,01
7;jusante;Novembro;2023;250;3,51;2,79;12;12;0;8;8;0;0,71;0,71;0;0,49;0,46;0,03;0,61;0,62;-0,01;0,27;0,27;0
7;jusante;Novembro;2023;251;2,71;2,08;11;11;0;8;8;0;0,53;0,52;0,01;0,38;0,36;0,02;0,39;0,38;0,01;0,21;0,22;-0,01
7;jusante;Novembro;2023;252;2,57;2,09;;11;;8;8;0;0,51;0,52;-0,01;0,35;0,35;0;0,42;0,4;0,02;0,22;0,22;0
7;jusante;Novembro;2023;253;2,82;2,2;;;;8;8;0;0,56;0,56;0;0,4;0,4;0;0,45;0,45;0;0,22;0,22;0
6;jusante;Junho;2024;254;6,94;5,38;14;15;-1;8;8;0;1,27;1,27;0;0,91;0,91;0;1,15;1,18;-0,03;0,5;0,5;0
6;jusante;Junho;2024;255;7,03;5,41;13;13;0;8;8;0;1,31;1,3;0,01;0,91;0,91;0;1,18;1,17;0,01;0,52;0,51;0,01
6;jusante;Junho;2024;256;7,18;5,48;14;13;1;8;8;0;1,28;1,31;-0,03;0,88;0,89;-0,01;1,15;1,13;0,02;0,53;0,53;0
6;jusante;Junho;2024;257;5,4;4,24;14;14;0;8;8;0;1,04;1,02;0,02;0,7;0,7;0;0,93;0,93;0;0,43;0,43;0
6;jusante;Junho;2024;258;6,17;4,79;13;13;0;8;8;0;1,19;1,17;0,02;0,8;0,82;-0,02;0,97;0,97;0;0,46;0,46;0
8;intermediario;Junho;2024;259;7,19;5,53;13;13;0;8;8;0;1,34;1,34;0;0,95;0,95;0;1,09;1,12;-0,03;0,5;0,5;0
8;intermediario;Junho;2024;260;8,23;6,35;14;14;0;8;8;0;1,47;1,48;-0,01;1,09;1,09;0;1,39;1,36;0,03;0,56;0,56;0
8;intermediario;Junho;2024;261;6,08;4,7;14;14;0;8;8;0;1,11;1,13;-0,02;0,79;0,79;0;1,02;1,01;0,01;0,45;0,44;0,01
8;intermediario;Junho;2024;262;6,79;5,41;14;14;0;8;8;0;1,19;1,19;0;0,85;0,86;-0,01;1,08;1,11;-0,03;0,5;0,5;0
8;intermediario;Junho;2024;263;7,47;5,81;14;14;0;8;8;0;1,31;1,32;-0,01;0,95;0,95;0;1,27;1,24;0,03;0,54;0,54;0
8;intermediario;Junho;2024;264;5,08;3,89;13;13;0;8;8;0;0,91;0,91;0;0,66;0,68;-0,02;0,81;0,78;0,03;0,38;0,39;-0,01
8;intermediario;Junho;2024;265;4,72;3,66;14;14;0;8;8;0;0,82;0,82;0;0,62;0,64;-0,02;0,72;0,72;0;0,34;0,34;0
8;intermediario;Junho;2024;266;4,36;3,5;13;14;-1;8;8;0;0,84;0,85;-0,01;0,59;0,59;0;0,71;0,74;-0,03;0,33;0,34;-0,01
POÇÃO (pt 12,5);montante;Junho;2024;267;6,34;4,76;14;14;0;8;8;0;1,23;1,24;-0,01;0,87;0,87;0;1,03;1;0,03;0,56;0,49;0,07
POÇÃO (pt 12,5);montante;Junho;2024;268;6,47;5,06;15;15;0;8;8;0;1,23;1,23;0;0,85;0,85;0;1,04;1,06;-0,02;0,52;0,52;0
POÇÃO (pt 12,5);montante;Junho;2024;269;4,42;3,4;13;13;0;8;8;0;0,86;0,87;-0,01;0,65;0,65;0;0,74;0,74;0;0,39;0,37;0,02
POÇÃO (pt 12,5);montante;Junho;2024;270;4,5;3,42;13;13;0;8;8;0;0,83;0,85;-0,02;0,63;0,65;-0,02;0,69;0,72;-0,03;0,37;0,37;0
POÇÃO (pt 12,5);montante;Junho;2024;271;6,96;5,32;13;13;0;8;8;0;1,28;1,29;-0,01;0,93;0,92;0,01;1,12;1,15;-0,03;0,52;0,54;-0,02
POÇÃO (pt 12,5);montante;Junho;2024;272;6,79;5,14;14;14;0;8;8;0;1,25;1,25;0;0,93;0,94;-0,01;1,1;1,11;-0,01;0,56;0,54;0,02
POÇÃO (pt 12,5);montante;Junho;2024;273;4,7;3,59;14;14;0;8;8;0;0,88;0,9;-0,02;0,63;0,63;0;0,79;0,75;0,04;0,4;0,4;0
POÇÃO (pt 12,5);montante;Junho;2024;274;4,99;3,71;14;14;0;8;8;0;0,94;0,94;0;0,66;0,67;-0,01;0,83;0,8;0,03;0,39;0,39;0
POÇÃO (pt 12,5);montante;Junho;2024;275;4,22;3,25;12;14;-2;8;8;0;0,85;0,85;0;0,62;0,64;-0,02;0,69;0,71;-0,02;0,37;0,37;0
POÇÃO (pt 12,5);montante;Junho;2024;276;4,62;3,54;13;13;0;8;8;0;0,83;0,83;0;0,62;0,63;-0,01;0,77;0,74;0,03;0,38;0,38;0
POÇÃO (pt 12,5);montante;Junho;2024;277;4,47;3,48;13;13;0;8;8;0;0,86;0,88;-0,02;0,64;0,63;0,01;0,72;0,75;-0,03;0,38;0,38;0
CANAL (jus pt 12,5);montante;junho;2024;278;6,59;5,02;14;14;0;8;8;0;1,26;1,26;0;0,86;0,88;-0,02;1,09;1,09;0;0,52;0,52;0
CANAL (jus pt 12,5);montante;junho;2024;279;6,36;4,85;14;14;0;8;8;0;1,15;1,17;-0,02;0,82;0,82;0;1,06;1,07;-0,01;0,51;0,53;-0,02
CANAL (jus pt 12,5);montante;junho;2024;280;6,41;4,84;14;14;0;8;8;0;1,23;1,23;0;0,87;0,87;0;1,12;1,12;0;0,51;0,51;0
CANAL (jus pt 12,5);montante;junho;2024;281;4,99;3,79;13;13;0;8;8;0;0,93;0,93;0;0,71;0,71;0;0,79;0,8;-0,01;0,43;0,43;0
CANAL (jus pt 12,5);montante;junho;2024;282;4,51;3,39;13;13;0;8;8;0;0,81;0,78;0,03;0,59;0,61;-0,02;0,78;0,75;0,03;0,38;0,38;0
CANAL (jus pt 12,5);montante;junho;2024;283;4,16;3,21;13;13;0;8;8;0;0,84;0,85;-0,01;0,61;0,61;0;0,7;0,7;0;0,36;0,36;0
13;montante;junho;2024;284;6,65;5,1;14;14;0;8;8;0;1,3;1,27;0,03;0,89;0,89;0;1,15;1,12;0,03;0,52;0,52;0
13;montante;junho;2024;285;5,93;4,64;14;14;0;8;8;0;1,15;1,14;0,01;0,82;0,81;0,01;1,04;1,1;-0,06;0,52;0,52;0
13;montante;junho;2024;286;4,68;3,68;14;14;0;8;8;0;0,96;0,96;0;0,68;0,68;0;0,8;0,8;0;0,4;0,42;-0,02
13;montante;junho;2024;287;4,68;3,68;14;14;0;8;8;0;0,93;0,93;0;0,66;0,67;-0,01;0,79;0,79;0;0,4;0,4;0
13;montante;junho;2024;288;4,84;3,68;14;14;0;8;8;0;0,92;0,94;-0,02;0,69;0,69;0;0,8;0,78;0,02;0,4;0,4;0
13;montante;junho;2024;289;5,14;3,92;13;13;0;8;8;0;1,06;1,06;0;0,72;0,72;0;0,84;0,83;0,01;0,44;0,44;0
13;montante;junho;2024;290;5,2;3,79;13;13;0;8;8;0;1;1;0;0,72;0,72;0;0,89;0,85;0,04;0,42;0,43;-0,01
13;montante;junho;2024;291;4,68;3,6;14;14;0;8;8;0;0,9;0,89;0,01;0,67;0,67;0;0,74;0,77;-0,03;0,39;0,39;0
Mont, pto 13;montante;junho;2024;292;8,46;6,59;14;14;0;8;8;0;1,54;1,55;-0,01;1,11;1,11;0;1,42;1,42;0;0,61;0,61;0
trilha (12 - 12,5);montante;Agosto;2024;293;8,4;6,36;14;13;1;8;8;0;1,41;1,46;-0,05;1,13;1,11;0,02;1,42;1,4;0,02;0,62;0,65;-0,03
trilha (12 - 12,5);montante;Agosto;2024;294;10,1;8,24;13;14;-1;8;8;0;1,6;1,54;0,06;1,18;1,22;-0,04;1,57;1,57;0;0,71;0,69;0,02
trilha (12 - 12,5);montante;agosto;2024;295;7,58;6,02;13;13;0;8;8;0;1,33;1,31;0,02;1,04;1,02;0,02;1,22;1,22;0;0,56;0,58;-0,02
trilha (12 - 12,5);montante;agosto;2024;296;13,67;11,53;12;13;-1;8;8;0;2,21;2,37;-0,16;1,72;1,75;-0,03;2,27;2,26;0,01;0,84;0,9;-0,06
trilha (12 - 12,5);montante;agosto;2024;297;7,04;5,39;14;14;0;8;8;0;1,22;1,2;0,02;0,91;0,9;0,01;1,08;1,08;0;0,55;0,55;0
trilha (12 - 12,5);montante;agosto;2024;298;6,87;5,44;14;14;0;8;8;0;1,25;1,21;0,04;0,92;0,91;0,01;1,13;1,15;-0,02;0,53;0,53;0
trilha (12 - 12,5);montante;agosto;2024;299;6,81;5,2;14;15;-1;8;8;0;1,19;1,17;0,02;0,89;0,89;0;1,07;1,02;0,05;0,52;0,52;0
trilha (12 - 12,5);montante;agosto;2024;300;8,47;6,56;14;14;0;8;8;0;1,54;1,47;0,07;1,13;1,13;0;1,43;1,37;0,06;0,62;0,64;-0,02
trilha (12 - 12,5);montante;agosto;2024;301;4,7;3,49;12;11;1;8;8;0;0,83;0,8;0,03;0,65;0,65;0;0,74;0,73;0,01;0,4;0,38;0,02
trilha (12 - 12,5);montante;agosto;2024;302;6,76;5,19;15;15;0;8;8;0;1,17;1,14;0,03;0,91;0,92;-0,01;0,97;1,04;-0,07;0,53;0,5;0,03
trilha (12 - 12,5);montante;agosto;2024;303;4,45;3,45;12;12;0;8;8;0;0,82;0,82;0;0,63;0,63;0;0,73;0,69;0,04;0,38;0,37;0,01
trilha (12 - 12,5);montante;agosto;2024;304;4,53;3,48;13;13;0;8;8;0;0,78;0,8;-0,02;0,6;0,6;0;0,75;0,74;0,01;0,39;0,39;0
POÇÃO (pt 12,5);montante;agosto;2024;305;6,6;5,05;13;13;0;8;8;0;1,22;1,15;0,07;0,84;0,86;-0,02;0,97;0,96;0,01;0,52;0,54;-0,02
POÇÃO (pt 12,5);montante;agosto;2024;306;5,71;4,35;13;14;-1;8;8;0;1,03;0,99;0,04;0,73;0,73;0;0,87;0,91;-0,04;0,47;0,44;0,03
POÇÃO (pt 12,5);montante;agosto;2024;307;9,01;7,03;14;14;0;8;8;0;1,55;1,53;0,02;1,13;1,15;-0,02;1,34;1,31;0,03;0,58;0,56;0,02
POÇÃO (pt 12,5);montante;agosto;2024;308;4,79;3,71;14;13;1;8;8;0;0,95;0,91;0,04;0,67;0,68;-0,01;0,76;0,75;0,01;0,44;0,41;0,03
POÇÃO (pt 12,5);montante;agosto;2024;309;7,3;5,71;14;15;-1;8;8;0;1,33;1,26;0,07;0,94;0,94;0;1,2;1,22;-0,02;0,54;0,54;0
POÇÃO (pt 12,5);montante;agosto;2024;310;6,59;5,05;14;14;0;8;8;0;1,23;1,2;0,03;0,85;0,89;-0,04;1,01;1,02;-0,01;0,53;0,55;-0,02
POÇÃO (pt 12,5);montante;agosto;2024;311;4,56;3,4;13;13;0;8;8;0;0,82;0,82;0;0,62;0,63;-0,01;0,68;0,66;0,02;0,39;0,39;0
POÇÃO (pt 12,5);montante;agosto;2024;312;4,49;3,44;14;14;0;8;8;0;0,87;0,84;0,03;0,63;0,67;-0,04;0,69;0,67;0,02;0,39;0,38;0,01
POÇÃO (pt 12,5);montante;agosto;2024;313;3,93;3,02;13;12;1;8;8;0;0,74;0,69;0,05;0,55;0,53;0,02;0,61;0,58;0,03;0,34;0,34;0
POÇÃO (pt 12,5);montante;agosto;2024;314;4,94;3,83;14;14;0;8;8;0;0,93;0,9;0,03;0,66;0,67;-0,01;0,76;0,78;-0,02;0,39;0,4;-0,01
POÇÃO (pt 12,5);montante;agosto;2024;315;4,28;3,34;14;14;0;8;8;0;0,83;0,83;0;0,56;0,57;-0,01;0,64;0,64;0;0,38;0,38;0
CANAL (jus pt 12,5);montante;agosto;2024;316;7,91;6,23;13;13;0;8;8;0;1,39;1,34;0,05;1,1;1,1;0;1,22;1,14;0,08;0,56;0,57;-0,01
CANAL (jus pt 12,5);montante;agosto;2024;317;7,56;5,86;13;14;-1;8;8;0;1,34;1,34;0;1,07;1,08;-0,01;1,23;1,29;-0,06;0,55;0,55;0
CANAL (jus pt 12,5);montante;agosto;2024;318;6,85;5,36;14;14;0;8;8;0;1,14;1,11;0,03;0,99;0,99;0;1,09;1,09;0;0,52;0,52;0
CANAL (jus pt 12,5);montante;agosto;2024;319;591;4,41;13;13;0;8;8;0;1,03;1,03;0;0,78;0,8;-0,02;0,94;0,85;0,09;0,5;0,5;0
CANAL (jus pt 12,5);montante;agosto;2024;320;4,94;3,83;13;13;0;8;8;0;0,9;0,9;0;0,7;0,72;-0,02;0,69;0,72;-0,03;0,41;0,41;0
Acima PT 13;montante;agosto;2024;321;x;4,57;13;14;-1;8;8;0;1,03;1,06;-0,03;0,83;0,83;0;0,91;0,95;-0,04;0,5;0,5;0
Acima PT 13;montante;agosto;2024;322;x;5,49;13;13;0;8;8;0;1,25;1,22;0,03;1;1,03;-0,03;1,06;1,06;0;0,56;0,54;0,02
Acima PT 13;montante;agosto;2024;323;4,81;3,75;14;13;1;8;8;0;0,87;0,82;0,05;0,68;0,68;0;0,75;0,77;-0,02;0,4;0,42;-0,02
Acima PT 13;montante;agosto;2024;324;8,32;6,48;15;15;0;8;8;0;1,44;1,42;0,02;1,16;1,18;-0,02;1,15;1,15;0;0,6;0,62;-0,02
Acima PT 13;montante;agosto;2024;325;8,17;6,41;13;13;0;8;8;0;1,44;1,44;0;1,18;1,18;0;1,19;1,25;-0,06;0,59;0,59;0
Acima PT 13;montante;agosto;2024;326;9,73;7,47;14;14;0;8;8;0;1,65;1,7;-0,05;1,26;1,23;0,03;1,57;1,55;0,02;0,62;0,65;-0,03
Acima PT 13;montante;agosto;2024;327;6,79;5,38;13;14;-1;8;8;0;1,23;1,22;0,01;0,94;0,93;0,01;1,17;1,12;0,05;0,52;0,5;0,02
Acima PT 13;montante;agosto;2024;328;6,28;4,84;13;13;0;8;8;0;1,13;1,09;0,04;0,87;0,86;0,01;1,02;0,99;0,03;0,46;0,45;0,01
Acima PT 13;montante;agosto;2024;329;7,73;5,97;13;13;0;8;8;0;1,36;1,34;0,02;0,99;0,99;0;1,31;1,29;0,02;0,55;0,53;0,02
Acima PT 13;montante;agosto;2024;330;6,74;5,14;13;13;0;8;8;0;1,16;1,16;0;0,91;0,9;0,01;1,08;1,12;-0,04;0,51;0,51;0
Acima PT 13;montante;agosto;2024;331;6,61;5,09;13;13;0;8;8;0;1,16;1,18;-0,02;0,9;0,89;0,01;1,07;1,05;0,02;0,48;0,48;0
Acima PT 13;montante;agosto;2024;332;10,51;8,3;14;14;0;8;8;0;1,8;1,78;0,02;1,28;1,26;0,02;1,64;1,71;-0,07;0,64;0,62;0,02
Acima PT 13;montante;agosto;2024;333;6,41;4,84;15;14;1;8;8;0;1,11;1,08;0,03;0,86;0,86;0;1,09;1,06;0,03;0,45;0,47;-0,02
Acima PT 13;montante;agosto;2024;334;13,3;10,56;14;14;0;8;8;0;2,19;2,16;0,03;1,62;1,66;-0,04;2,32;2,45;-0,13;0,72;0,69;0,03
Acima PT 13;montante;agosto;2024;335;6,8;5,17;;14;;8;8;0;1,16;1,14;0,02;0,98;0,93;0,05;1,14;1,1;0,04;0,5;0,51;-0,01
Acima PT 13;montante;agosto;2024;336;6,32;4,71;14;14;0;8;8;0;1,15;1,14;0,01;0,86;0,86;0;0,93;0,95;-0,02;0,48;0,45;0,03
Acima PT 13;montante;agosto;2024;337;8,58;6,63;14;13;1;8;8;0;1,49;1,49;0;1,13;1,13;0;1,44;1,4;0,04;0,61;0,58;0,03
Acima PT 13;montante;agosto;2024;338;6,51;5,09;14;14;0;8;8;0;1,15;1,14;0,01;0,88;0,86;0,02;1,09;1,09;0;0,47;0,47;0
Acima PT 13;montante;agosto;2024;339;6,37;4,92;15;15;0;8;8;0;1,14;1,1;0,04;0,84;0,89;-0,05;1;0,98;0,02;0,49;0,49;0
Acima PT 13;montante;agosto;2024;340;6,58;4,96;13;14;-1;8;8;0;1,04;1,05;-0,01;0,83;0,87;-0,04;1,14;1,05;0,09;0,48;0,46;0,02
Acima PT 13;montante;agosto;2024;341;6,28;4,72;14;14;0;8;8;0;1,12;1,07;0,05;0,83;0,83;0;0,95;0,99;-0,04;0,45;0,49;-0,04
Acima PT 13;montante;agosto;2024;342;6,05;4,65;14;14;0;9;9;0;1,06;1,06;0;0,84;0,87;-0,03;0,91;0,92;-0,01;0,46;0,46;0
Acima PT 13;montante;agosto;2024;343;5,92;4,51;14;13;1;8;8;0;1,09;1,1;-0,01;0,83;0,82;0,01;0,94;0,94;0;0,47;0,46;0,01
Acima PT 13;montante;agosto;2024;344;9,76;7,64;13;13;0;8;8;0;1,7;1,67;0,03;1,25;1,23;0,02;1,56;1,46;0,1;0,66;0,64;0,02
Acima PT 13;montante;agosto;2024;345;6,21;4,82;13;13;0;8;8;0;1,11;1,11;0;0,84;0,83;0,01;0,92;0,92;0;0,46;0,48;-0,02
Acima PT 13;montante;agosto;2024;346;6,63;4,97;13;14;-1;8;8;0;1,11;1,11;0;0,9;0,89;0,01;1,1;1,06;0,04;0,5;0,48;0,02
Acima PT 13;montante;agosto;2024;347;5,98;4,65;13;13;0;8;8;0;1,06;1,09;-0,03;0,82;0,86;-0,04;0,96;0,99;-0,03;0,47;0,47;0
Acima PT 13;montante;agosto;2024;348;6,44;4,99;13;13;0;8;8;0;1,11;1,11;0;0,85;0,83;0,02;1,06;1,1;-0,04;0,45;0,46;-0,01
Acima PT 13;montante;agosto;2024;349;5,82;4,38;13;13;0;9;9;0;0,92;0,95;-0,03;0,78;0,79;-0,01;0,88;0,81;0,07;0,46;0,46;0
Acima PT 13;montante;agosto;2024;350;5,61;4,24;13;13;0;8;8;0;0,96;1;-0,04;0,76;0,77;-0,01;0,91;0,88;0,03;0,43;0,43;0
Acima PT 13;montante;agosto;2024;351;x;3,72;13;11;2;8;8;0;0,8;0,84;-0,04;0,73;0,73;0;0,73;0,7;0,03;0,38;0,36;0,02
Acima PT 13;montante;agosto;2024;352;6,24;4,65;13;13;0;8;8;0;1,06;1,06;0;0,84;0,84;0;1,02;0,96;0,06;0,47;0,44;0,03
13;montante;agosto;2024;353;5,04;3,8;15;15;0;8;8;0;0,88;0,88;0;0,77;0,79;-0,02;0,79;0,8;-0,01;0,41;0,43;-0,02
13;montante;agosto;2024;354;5,51;4,22;13;13;0;8;8;0;0,97;0,97;0;0,76;0,77;-0,01;0,85;0,83;0,02;0,43;0,47;-0,04
13;montante;agosto;2024;355;4,95;3,82;13;12;1;8;8;0;0,93;0,92;0,01;0,73;0,77;-0,04;0,84;0,81;0,03;0,43;0,41;0,02
13;montante;agosto;2024;356;6,63;5,12;15;15;0;8;8;0;1,19;1,17;0,02;0,93;0,96;-0,03;1,04;1,02;0,02;0,51;0,51;0
13;montante;agosto;2024;357;5,04;3,81;14;15;-1;8;8;0;0,91;0,91;0;0,72;0,73;-0,01;0,78;0,73;0,05;0,4;0,4;0
13;montante;agosto;2024;358;4,36;3,46;14;14;0;8;8;0;0,79;0,79;0;0,66;0,63;0,03;0,75;0,75;0;0,36;0,36;0
13;montante;agosto;2024;359;4,72;3,59;14;14;0;9;9;0;0,88;0,88;0;0,71;0,71;0;0,72;0,72;0;0,42;0,4;0,02
13;montante;agosto;2024;360;8,2;6,61;14;14;0;8;8;0;1,43;1,45;-0,02;1,13;1,13;0;1,35;1,32;0,03;0,58;0,61;-0,03
13;montante;agosto;2024;361;4,41;3,38;14;13;1;8;8;0;0,8;0,79;0,01;0,65;0,64;0,01;0,67;0,67;0;0,37;0,37;0
